EVI,LST,MNDWI,NDBI,NDVI,NO2_Emissions,Pop_Density,Relative_Humidity,SAVI,Wind_Speed,Longitude,Latitude,Building_Density_Ratio,Volume_Density,Dist_Water,Dist_Park,Dist_Highway,Street_Density,Height_Variability,SVF_Proxy,Air_Temp_C,Albedo,MODIS_LST,Soil_Moisture,Surface_Pressure_hPa,Relative_Wealth_Index,Dist_to_RWI_Node
1.279958209,32.06376806,-0.166603327,-0.09695366,0.263035834,0.000108441,10.34230232,44.01000801,0.394546966,1.316944944,77.62926275,12.90205327,0.384070748,25.34866935,270.460385,897.0759535,243.2804812,370.938403,0.0,0.615929252,25.17601381,12650.2687,34.02,0.143544853,911.1730456,1.743,1360.8864339996858
0.513828782,35.98765502,-0.154028937,0.016724724,0.110693313,0.000107163,7.211042881,44.01000801,0.166037046,1.316944944,77.64453411,12.90205327,0.343954288,5.159314325,225.4949636,156.7876828,1163.393131,1746.207332,0.0,0.656045712,25.17601381,13761.0112,33.89,0.143544853,911.1730456,1.644,816.1362637038153
0.478430559,35.82871709,-0.220096916,0.033408012,0.132801995,0.000107163,8.009167671,44.01000801,0.199199978,1.316944944,77.64633074,12.90205327,0.0,,41.62007988,348.4007054,1330.421547,0.0,0.0,1.0,25.17601381,15243.3642,33.89,0.143544853,911.1730456,1.644,938.1517386199333
0.717252581,37.13610974,-0.173542514,0.004706025,0.141492173,0.000107163,7.857212543,44.01000801,0.212234579,1.316944944,77.64812737,12.90205327,0.134592185,,142.0537024,288.1461398,1497.450902,879.8120838,0.0,0.865407815,25.17601381,14565.5097,33.89,0.143544853,911.1730456,1.644,1081.8080508324879
0.476330292,32.34575471,-0.114348687,0.004469831,0.08527673,0.00011424,9.997935295,44.01000801,0.127912987,1.316944944,77.55739753,12.90295158,0.412344684,,42.75357629,44.9071545,1481.115011,1012.164978,0.0,0.587655316,25.17601381,12593.1142,34.47,0.133605331,911.1730456,1.649,788.1488559558652
0.711992999,32.59697918,-0.124223977,-0.018318515,0.122490339,0.00011427,9.40336132,44.01000801,0.183731983,1.316944944,77.56278742,12.90295158,0.2869878,,41.80511646,17.80854158,1024.084957,2748.452768,0.0,0.7130122,25.17601381,12521.2767,34.45,0.133605331,911.1730456,1.649,1259.940725697253
0.491810587,35.00839229,-0.124832436,0.007709575,0.091992334,0.00011427,10.70316887,44.01000801,0.137985972,1.316944944,77.56638068,12.90295158,0.512714089,,80.05822953,57.7895273,722.3370599,1728.425841,0.0,0.487285911,25.17601381,13245.8747,34.45,0.133605331,911.1730456,1.466,1052.359827529882
0.595532369,35.52964034,-0.161903948,0.050978016,0.090838768,0.00011427,14.07270336,44.01000801,0.136255687,1.316944944,77.56997394,12.90295158,0.509513443,,194.5215387,342.2166061,354.713765,907.340111,0.0,0.490486557,25.17601381,13359.7452,34.41,0.133605331,911.1730456,1.466,758.1835933091317
0.528626833,34.10603501,-0.138184234,0.02651464,0.089930467,0.000114245,8.119080544,44.01000801,0.134893119,1.316944944,77.57985541,12.90295158,0.044602734,,133.6552342,119.5060327,379.074976,740.296394,0.0,0.955397266,25.17601381,12719.2747,33.95,0.133605331,911.1730456,1.466,824.6957472020816
0.30503964,34.25130086,-0.13769801,0.031316403,0.06650503,0.000111416,8.11896801,44.01000801,0.09975579,1.316944944,77.58075372,12.90295158,0.697009137,8.364109648,138.4951965,107.2792684,377.2153847,553.5660176,0.0,0.302990863,25.17601381,14317.5802,33.95,0.133605331,911.1730456,1.466,896.5908147754353
0.393493897,34.32478829,-0.131297082,0.023398302,0.075030901,0.000111416,9.040807724,44.01000801,0.112544218,1.316944944,77.58165204,12.90295158,0.753584261,9.043011128,150.6388757,61.65675725,376.0673552,853.3694268,0.0,0.246415739,25.17601381,12729.8887,33.95,0.133605331,911.1730456,1.466,972.9640498475923
0.454765209,34.03425659,-0.131541103,-0.001090284,0.095644817,0.000111416,9.461736679,44.01000801,0.14346468,1.316944944,77.58255036,12.90295158,0.601318293,,201.2993422,79.93159999,374.9183171,1106.776411,0.0,0.398681707,25.17601381,13548.2597,33.95,0.133605331,911.1730456,1.466,1052.8407770687481
1.523646609,33.41730398,-0.136894792,-0.119419813,0.256551802,0.000109656,9.110127449,44.01000801,0.384820797,1.316944944,77.5969234,12.90295158,0.166340214,,60.39770236,0.0,351.1367205,923.8097194,0.0,0.833659786,25.17601381,13105.4237,33.77,0.133605331,911.1730456,1.561,583.1484373510732
1.031040036,33.89753579,-0.149347425,-0.06925115,0.19793053,0.000109656,9.113826752,44.01000801,0.296890664,1.316944944,77.59782172,12.90295158,0.490160604,,94.40270201,82.6825245,367.3963257,654.3606788,0.0,0.509839396,25.17601381,13948.6637,33.77,0.133605331,911.1730456,1.561,599.9284057769071
0.452046257,35.16903923,-0.155489355,0.028067416,0.100857146,0.000110806,14.07054329,44.01000801,0.151283097,1.316944944,77.60051666,12.90295158,0.24602011,,66.83132338,239.4534621,82.64823237,224.7890694,0.0,0.75397989,25.17601381,13902.3972,33.77,0.133605331,911.1730456,1.561,730.5168215071426
0.929981006,34.52132444,-0.149864241,0.015321692,0.123722397,0.000110806,10.23766899,44.01000801,0.185580162,1.316944944,77.60500824,12.90295158,0.436992255,5.243907055,28.0116059,263.4335365,380.4316629,1270.218224,0.0,0.563007745,25.17601381,12692.7217,33.49,0.143544853,911.1730456,1.561,1097.1984203893512
0.553627135,36.28502276,-0.182368159,0.023954621,0.1232116,0.000110806,6.583402157,44.01000801,0.184814265,1.316944944,77.60770318,12.90295158,0.0,,33.41307057,88.56343453,664.4737601,815.5273073,0.0,1.0,25.17601381,14459.4352,33.49,0.143544853,911.1730456,1.743,1299.4525090435911
